0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
6.0,3.0,53.0,84.0,23.0,11.0,23.0,13.0,15.0,14.0,9.0,44.0,35.0,83.0,18.0,16.0,20.0,37.0,56.0,32.0,6.0,6.0,2.0,8.0,0.0,474.0,91.0,84.0,118.0,83.0,194.0,357.0,185.0,147.0,289.0,302.0,153.0,391.0,37.0,18.0,44.0,17.0,27.0,9.0,1.0,3.0,10.0,1.0,0.0,0.0
1.0,5.0,17.0,108.0,34.0,20.0,25.0,34.0,22.0,17.0,11.0,49.0,47.0,105.0,25.0,22.0,21.0,42.0,61.0,35.0,9.0,7.0,3.0,0.0,0.0,497.0,98.0,90.0,126.0,87.0,207.0,368.0,202.0,150.0,295.0,311.0,179.0,408.0,40.0,19.0,47.0,20.0,32.0,10.0,2.0,4.0,10.0,1.0,0.0,0.0
1.0,6.0,25.0,52.0,46.0,5.0,7.0,49.0,27.0,8.0,13.0,14.0,62.0,51.0,29.0,27.0,23.0,45.0,22.0,38.0,11.0,7.0,3.0,1.0,0.0,517.0,112.0,95.0,130.0,99.0,219.0,386.0,218.0,156.0,308.0,323.0,200.0,415.0,44.0,21.0,25.0,26.0,41.0,13.0,4.0,6.0,11.0,1.0,0.0,0.0
1.0,6.0,41.0,20.0,62.0,15.0,11.0,60.0,5.0,14.0,15.0,23.0,74.0,59.0,33.0,31.0,24.0,54.0,29.0,40.0,11.0,9.0,1.0,2.0,0.0,543.0,123.0,104.0,138.0,116.0,231.0,403.0,244.0,169.0,316.0,334.0,229.0,438.0,19.0,22.0,16.0,28.0,48.0,15.0,2.0,4.0,1.0,1.0,0.0,0.0
0.0,7.0,59.0,37.0,71.0,21.0,14.0,74.0,10.0,20.0,4.0,28.0,83.0,72.0,41.0,32.0,25.0,56.0,5.0,44.0,12.0,10.0,2.0,3.0,0.0,270.0,135.0,118.0,144.0,131.0,238.0,415.0,162.0,176.0,330.0,354.0,254.0,453.0,27.0,25.0,16.0,29.0,52.0,16.0,2.0,5.0,1.0,1.0,0.0,0.0
0.0,8.0,69.0,53.0,23.0,29.0,23.0,21.0,15.0,25.0,4.0,38.0,20.0,87.0,48.0,38.0,25.0,7.0,7.0,51.0,14.0,13.0,4.0,3.0,0.0,289.0,145.0,126.0,149.0,137.0,252.0,422.0,181.0,179.0,342.0,364.0,275.0,473.0,32.0,25.0,19.0,22.0,59.0,17.0,4.0,5.0,2.0,2.0,0.0,0.0
0.0,8.0,31.0,67.0,15.0,34.0,33.0,29.0,19.0,10.0,4.0,46.0,35.0,98.0,54.0,42.0,28.0,13.0,9.0,0.0,0.0,14.0,4.0,1.0,0.0,73.0,152.0,137.0,154.0,145.0,124.0,440.0,198.0,186.0,352.0,173.0,304.0,493.0,38.0,25.0,26.0,12.0,65.0,18.0,4.0,0.0,1.0,0.0,0.0,0.0
0.0,2.0,37.0,83.0,25.0,10.0,42.0,18.0,27.0,15.0,5.0,15.0,50.0,111.0,63.0,17.0,29.0,16.0,11.0,2.0,1.0,16.0,4.0,4.0,0.0,95.0,167.0,143.0,155.0,155.0,139.0,454.0,213.0,189.0,367.0,182.0,328.0,509.0,45.0,25.0,28.0,14.0,69.0,20.0,5.0,0.0,1.0,0.0,0.0,0.0
0.0,4.0,54.0,38.0,41.0,17.0,45.0,35.0,11.0,17.0,6.0,24.0,65.0,35.0,65.0,24.0,34.0,23.0,17.0,5.0,8.0,17.0,4.0,4.0,0.0,40.0,177.0,147.0,160.0,161.0,148.0,465.0,45.0,197.0,380.0,193.0,227.0,524.0,49.0,28.0,29.0,14.0,72.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0
0.0,5.0,12.0,54.0,50.0,5.0,51.0,46.0,7.0,19.0,6.0,32.0,72.0,48.0,70.0,27.0,35.0,33.0,20.0,5.0,2.0,10.0,4.0,4.0,0.0,58.0,57.0,152.0,168.0,173.0,162.0,228.0,69.0,203.0,393.0,208.0,242.0,542.0,59.0,28.0,31.0,6.0,41.0,21.0,6.0,0.0,1.0,1.0,0.0,0.0
0.0,5.0,32.0,68.0,58.0,11.0,11.0,57.0,15.0,23.0,7.0,9.0,26.0,61.0,31.0,30.0,36.0,40.0,23.0,6.0,3.0,13.0,4.0,4.0,0.0,74.0,64.0,158.0,177.0,184.0,172.0,240.0,87.0,204.0,400.0,216.0,264.0,558.0,65.0,28.0,34.0,8.0,48.0,22.0,8.0,2.0,2.0,1.0,0.0,0.0
0.0,6.0,47.0,80.0,29.0,17.0,4.0,71.0,19.0,10.0,7.0,14.0,33.0,83.0,41.0,30.0,38.0,14.0,29.0,6.0,5.0,13.0,5.0,4.0,0.0,91.0,76.0,164.0,182.0,200.0,181.0,249.0,49.0,208.0,415.0,228.0,290.0,369.0,72.0,29.0,34.0,10.0,10.0,9.0,8.0,3.0,7.0,1.0,0.0,0.0
0.0,8.0,63.0,27.0,46.0,27.0,6.0,82.0,22.0,14.0,11.0,21.0,19.0,100.0,47.0,37.0,39.0,18.0,32.0,8.0,3.0,1.0,4.0,5.0,0.0,111.0,88.0,58.0,192.0,204.0,198.0,260.0,67.0,213.0,73.0,242.0,316.0,383.0,76.0,29.0,36.0,11.0,12.0,9.0,8.0,3.0,8.0,1.0,0.0,0.0
1.0,10.0,75.0,45.0,57.0,31.0,7.0,35.0,25.0,17.0,2.0,25.0,31.0,32.0,49.0,18.0,41.0,23.0,34.0,10.0,5.0,2.0,5.0,5.0,0.0,129.0,24.0,64.0,74.0,212.0,209.0,268.0,82.0,218.0,80.0,250.0,340.0,78.0,82.0,29.0,39.0,12.0,14.0,12.0,9.0,5.0,10.0,2.0,0.0,0.0
0.0,10.0,79.0,57.0,69.0,6.0,12.0,14.0,29.0,20.0,3.0,29.0,46.0,45.0,52.0,20.0,42.0,26.0,36.0,15.0,6.0,3.0,1.0,6.0,0.0,146.0,35.0,75.0,50.0,217.0,220.0,284.0,100.0,227.0,90.0,263.0,362.0,90.0,87.0,29.0,41.0,14.0,18.0,13.0,10.0,5.0,6.0,2.0,0.0,0.0
0.0,10.0,98.0,74.0,17.0,15.0,18.0,26.0,14.0,25.0,3.0,34.0,59.0,13.0,60.0,26.0,44.0,29.0,39.0,6.0,7.0,1.0,5.0,6.0,0.0,159.0,41.0,87.0,54.0,225.0,233.0,296.0,110.0,230.0,99.0,57.0,385.0,102.0,40.0,29.0,43.0,14.0,21.0,13.0,1.0,7.0,7.0,3.0,0.0,0.0
0.0,10.0,108.0,89.0,27.0,24.0,11.0,29.0,17.0,26.0,3.0,9.0,69.0,25.0,67.0,27.0,24.0,32.0,40.0,10.0,7.0,1.0,7.0,6.0,0.0,170.0,51.0,96.0,59.0,95.0,243.0,308.0,126.0,238.0,110.0,64.0,406.0,117.0,44.0,29.0,45.0,15.0,23.0,15.0,1.0,4.0,7.0,4.0,0.0,0.0
0.0,2.0,127.0,99.0,36.0,29.0,14.0,41.0,7.0,32.0,3.0,20.0,78.0,38.0,73.0,11.0,24.0,35.0,45.0,12.0,9.0,1.0,0.0,2.0,0.0,190.0,57.0,101.0,64.0,100.0,125.0,324.0,141.0,244.0,117.0,69.0,416.0,130.0,47.0,29.0,7.0,18.0,28.0,16.0,2.0,6.0,7.0,5.0,0.0,0.0
0.0,2.0,28.0,118.0,48.0,11.0,19.0,49.0,10.0,35.0,3.0,31.0,88.0,52.0,13.0,15.0,26.0,38.0,50.0,16.0,2.0,3.0,2.0,2.0,0.0,200.0,60.0,106.0,73.0,112.0,133.0,336.0,156.0,247.0,128.0,75.0,438.0,142.0,52.0,30.0,7.0,21.0,33.0,16.0,3.0,2.0,6.0,5.0,0.0,0.0
0.0,3.0,9.0,133.0,55.0,16.0,25.0,17.0,15.0,39.0,3.0,37.0,36.0,60.0,18.0,18.0,29.0,42.0,54.0,18.0,3.0,4.0,2.0,2.0,0.0,76.0,64.0,109.0,78.0,125.0,140.0,180.0,169.0,253.0,137.0,83.0,281.0,114.0,59.0,31.0,6.0,29.0,34.0,18.0,3.0,2.0,7.0,5.0,0.0,0.0
0.0,4.0,21.0,146.0,64.0,18.0,3.0,26.0,16.0,2.0,2.0,43.0,45.0,15.0,22.0,21.0,29.0,47.0,31.0,24.0,5.0,1.0,3.0,0.0,0.0,89.0,69.0,118.0,81.0,125.0,153.0,196.0,183.0,262.0,147.0,8.0,299.0,127.0,66.0,31.0,10.0,10.0,35.0,20.0,4.0,4.0,8.0,6.0,0.0,0.0
0.0,5.0,29.0,24.0,75.0,20.0,8.0,41.0,19.0,3.0,2.0,54.0,58.0,29.0,27.0,10.0,29.0,51.0,32.0,28.0,5.0,3.0,5.0,0.0,0.0,100.0,73.0,123.0,90.0,130.0,160.0,206.0,198.0,270.0,162.0,21.0,322.0,137.0,25.0,31.0,10.0,12.0,39.0,21.0,4.0,5.0,0.0,6.0,0.0,0.0
1.0,3.0,40.0,11.0,88.0,28.0,9.0,55.0,5.0,10.0,5.0,58.0,72.0,16.0,35.0,13.0,31.0,59.0,7.0,28.0,7.0,3.0,5.0,1.0,0.0,114.0,76.0,125.0,95.0,130.0,167.0,129.0,212.0,277.0,172.0,27.0,55.0,150.0,26.0,32.0,11.0,15.0,19.0,22.0,4.0,6.0,1.0,6.0,0.0,0.0
1.0,3.0,45.0,23.0,101.0,32.0,13.0,16.0,7.0,14.0,6.0,63.0,81.0,27.0,10.0,15.0,3.0,63.0,9.0,28.0,7.0,3.0,0.0,1.0,0.0,132.0,80.0,130.0,97.0,138.0,181.0,137.0,227.0,282.0,177.0,38.0,71.0,157.0,29.0,32.0,11.0,19.0,24.0,24.0,5.0,6.0,3.0,6.0,0.0,0.0
1.0,4.0,22.0,34.0,14.0,40.0,17.0,30.0,14.0,21.0,6.0,15.0,29.0,49.0,13.0,18.0,3.0,68.0,13.0,29.0,5.0,4.0,0.0,2.0,0.0,147.0,23.0,138.0,102.0,148.0,194.0,146.0,242.0,287.0,188.0,46.0,90.0,166.0,36.0,9.0,12.0,23.0,11.0,25.0,6.0,8.0,4.0,6.0,0.0,0.0
1.0,6.0,31.0,47.0,11.0,48.0,23.0,42.0,17.0,4.0,6.0,18.0,41.0,66.0,14.0,21.0,6.0,72.0,15.0,1.0,7.0,4.0,3.0,3.0,0.0,159.0,30.0,143.0,106.0,154.0,202.0,162.0,71.0,293.0,200.0,53.0,103.0,175.0,39.0,9.0,16.0,25.0,17.0,26.0,6.0,8.0,5.0,6.0,0.0,0.0
1.0,2.0,42.0,58.0,16.0,12.0,27.0,52.0,8.0,4.0,7.0,24.0,13.0,77.0,21.0,25.0,7.0,22.0,19.0,6.0,7.0,7.0,4.0,1.0,0.0,179.0,36.0,152.0,109.0,45.0,216.0,173.0,78.0,128.0,76.0,59.0,117.0,186.0,41.0,9.0,20.0,29.0,21.0,3.0,2.0,8.0,6.0,6.0,0.0,0.0
1.0,2.0,51.0,22.0,20.0,7.0,27.0,60.0,10.0,4.0,1.0,31.0,24.0,29.0,30.0,29.0,3.0,30.0,24.0,7.0,8.0,6.0,5.0,2.0,0.0,193.0,9.0,158.0,111.0,53.0,227.0,184.0,90.0,30.0,82.0,68.0,130.0,205.0,6.0,9.0,21.0,30.0,24.0,4.0,3.0,8.0,6.0,6.0,0.0,0.0
1.0,2.0,16.0,34.0,24.0,14.0,31.0,75.0,12.0,5.0,3.0,34.0,38.0,37.0,34.0,35.0,5.0,33.0,28.0,9.0,2.0,6.0,5.0,2.0,0.0,207.0,16.0,163.0,117.0,60.0,235.0,199.0,105.0,34.0,54.0,77.0,143.0,221.0,14.0,9.0,21.0,31.0,25.0,4.0,3.0,10.0,6.0,6.0,0.0,0.0
0.0,3.0,29.0,41.0,29.0,17.0,33.0,89.0,15.0,7.0,5.0,40.0,44.0,7.0,12.0,41.0,5.0,36.0,29.0,11.0,4.0,6.0,3.0,2.0,0.0,220.0,26.0,169.0,124.0,65.0,246.0,207.0,122.0,40.0,10.0,29.0,153.0,234.0,17.0,0.0,21.0,35.0,28.0,4.0,5.0,2.0,8.0,6.0,0.0,0.0
1.0,3.0,39.0,54.0,13.0,22.0,6.0,96.0,19.0,10.0,1.0,16.0,56.0,19.0,19.0,49.0,5.0,2.0,29.0,1.0,5.0,6.0,3.0,3.0,0.0,231.0,33.0,9.0,132.0,75.0,256.0,91.0,130.0,44.0,20.0,36.0,168.0,240.0,22.0,1.0,22.0,36.0,3.0,6.0,5.0,2.0,9.0,6.0,0.0,0.0
1.0,2.0,44.0,27.0,22.0,28.0,8.0,101.0,21.0,13.0,3.0,22.0,64.0,28.0,24.0,51.0,7.0,4.0,33.0,3.0,9.0,1.0,3.0,5.0,0.0,47.0,43.0,14.0,135.0,80.0,28.0,102.0,138.0,48.0,26.0,26.0,85.0,249.0,27.0,2.0,23.0,37.0,3.0,7.0,5.0,2.0,9.0,6.0,0.0,0.0
1.0,0.0,58.0,35.0,29.0,36.0,11.0,5.0,25.0,14.0,5.0,30.0,74.0,35.0,8.0,15.0,7.0,8.0,3.0,4.0,9.0,1.0,5.0,5.0,0.0,61.0,53.0,19.0,10.0,91.0,36.0,113.0,151.0,54.0,32.0,36.0,98.0,262.0,31.0,2.0,3.0,38.0,8.0,9.0,6.0,2.0,4.0,6.0,0.0,0.0
1.0,0.0,21.0,48.0,38.0,14.0,13.0,10.0,26.0,20.0,6.0,6.0,83.0,41.0,13.0,19.0,9.0,12.0,2.0,7.0,1.0,2.0,2.0,5.0,0.0,73.0,58.0,26.0,18.0,96.0,43.0,117.0,31.0,57.0,37.0,41.0,16.0,274.0,35.0,2.0,6.0,40.0,11.0,1.0,7.0,2.0,4.0,6.0,0.0,0.0
1.0,3.0,28.0,59.0,10.0,16.0,16.0,22.0,3.0,22.0,6.0,10.0,98.0,12.0,16.0,21.0,10.0,14.0,4.0,8.0,1.0,3.0,2.0,6.0,0.0,81.0,17.0,28.0,24.0,102.0,48.0,7.0,39.0,59.0,42.0,50.0,28.0,284.0,38.0,3.0,7.0,44.0,12.0,3.0,0.0,4.0,5.0,7.0,0.0,0.0
1.0,3.0,9.0,66.0,14.0,19.0,8.0,28.0,9.0,23.0,6.0,14.0,18.0,20.0,18.0,4.0,2.0,19.0,7.0,1.0,4.0,4.0,2.0,7.0,0.0,94.0,23.0,34.0,29.0,11.0,54.0,18.0,50.0,13.0,48.0,55.0,36.0,294.0,11.0,4.0,7.0,6.0,14.0,3.0,1.0,5.0,6.0,7.0,0.0,0.0
1.0,3.0,13.0,17.0,20.0,7.0,12.0,33.0,10.0,25.0,6.0,20.0,29.0,38.0,20.0,6.0,4.0,26.0,8.0,1.0,6.0,4.0,3.0,0.0,0.0,10.0,29.0,44.0,36.0,15.0,61.0,29.0,63.0,13.0,53.0,64.0,51.0,32.0,19.0,4.0,8.0,7.0,17.0,3.0,2.0,6.0,6.0,7.0,0.0,0.0
1.0,3.0,20.0,16.0,25.0,13.0,16.0,37.0,15.0,1.0,7.0,25.0,37.0,45.0,8.0,9.0,8.0,32.0,8.0,4.0,8.0,4.0,4.0,0.0,0.0,22.0,33.0,12.0,37.0,21.0,65.0,42.0,19.0,19.0,57.0,71.0,68.0,48.0,22.0,4.0,10.0,10.0,3.0,6.0,2.0,0.0,6.0,7.0,0.0,0.0
1.0,3.0,32.0,32.0,33.0,15.0,22.0,17.0,19.0,5.0,7.0,27.0,44.0,13.0,12.0,13.0,8.0,32.0,9.0,4.0,2.0,5.0,5.0,0.0,0.0,32.0,38.0,19.0,39.0,26.0,7.0,52.0,28.0,24.0,58.0,80.0,77.0,52.0,4.0,4.0,11.0,10.0,8.0,7.0,3.0,2.0,6.0,7.0,0.0,0.0
1.0,3.0,39.0,38.0,11.0,23.0,7.0,20.0,23.0,6.0,8.0,32.0,54.0,24.0,14.0,14.0,10.0,2.0,14.0,4.0,5.0,6.0,5.0,0.0,0.0,41.0,13.0,21.0,10.0,31.0,14.0,65.0,39.0,28.0,67.0,86.0,87.0,61.0,6.0,4.0,14.0,12.0,8.0,9.0,3.0,5.0,6.0,7.0,0.0,0.0
1.0,3.0,47.0,51.0,4.0,31.0,8.0,31.0,29.0,9.0,2.0,36.0,59.0,31.0,17.0,4.0,13.0,5.0,15.0,1.0,6.0,0.0,5.0,0.0,0.0,54.0,18.0,25.0,16.0,35.0,21.0,11.0,50.0,32.0,70.0,18.0,100.0,73.0,8.0,5.0,16.0,13.0,8.0,0.0,5.0,7.0,0.0,8.0,0.0,0.0
0.0,3.0,57.0,60.0,15.0,9.0,11.0,38.0,33.0,12.0,2.0,10.0,65.0,37.0,6.0,7.0,14.0,8.0,2.0,1.0,6.0,2.0,5.0,0.0,0.0,15.0,23.0,28.0,18.0,44.0,24.0,21.0,67.0,35.0,7.0,21.0,111.0,83.0,14.0,6.0,18.0,16.0,11.0,0.0,6.0,8.0,1.0,0.0,0.0,0.0
0.0,4.0,66.0,69.0,19.0,16.0,12.0,44.0,34.0,6.0,2.0,15.0,68.0,45.0,12.0,10.0,17.0,10.0,4.0,3.0,7.0,3.0,0.0,0.0,0.0,20.0,28.0,7.0,21.0,10.0,29.0,27.0,76.0,38.0,20.0,28.0,35.0,93.0,19.0,6.0,6.0,16.0,11.0,0.0,6.0,8.0,1.0,0.0,0.0,0.0
1.0,4.0,69.0,73.0,28.0,7.0,13.0,48.0,36.0,8.0,2.0,7.0,74.0,49.0,13.0,12.0,17.0,11.0,8.0,4.0,7.0,6.0,1.0,0.0,0.0,28.0,31.0,10.0,23.0,17.0,41.0,33.0,16.0,43.0,23.0,30.0,50.0,106.0,23.0,6.0,6.0,8.0,12.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0
1.0,2.0,79.0,82.0,37.0,10.0,3.0,57.0,39.0,9.0,4.0,11.0,36.0,54.0,15.0,14.0,19.0,5.0,11.0,4.0,8.0,6.0,1.0,0.0,0.0,37.0,12.0,18.0,9.0,23.0,46.0,44.0,23.0,43.0,34.0,3.0,62.0,118.0,26.0,6.0,7.0,10.0,5.0,3.0,1.0,8.0,2.0,0.0,0.0,0.0
1.0,2.0,85.0,87.0,42.0,13.0,3.0,62.0,41.0,1.0,1.0,15.0,12.0,67.0,19.0,16.0,2.0,8.0,12.0,4.0,9.0,0.0,1.0,0.0,0.0,24.0,16.0,19.0,14.0,27.0,53.0,53.0,30.0,46.0,40.0,10.0,71.0,29.0,28.0,6.0,7.0,3.0,8.0,3.0,2.0,10.0,2.0,0.0,0.0,0.0
1.0,3.0,95.0,93.0,51.0,16.0,5.0,68.0,42.0,4.0,1.0,20.0,17.0,75.0,25.0,18.0,2.0,12.0,7.0,7.0,11.0,1.0,1.0,0.0,0.0,35.0,18.0,25.0,16.0,32.0,56.0,59.0,43.0,5.0,47.0,14.0,8.0,42.0,31.0,7.0,9.0,6.0,10.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0
2.0,4.0,12.0,98.0,56.0,18.0,7.0,13.0,45.0,5.0,1.0,23.0,27.0,29.0,25.0,23.0,2.0,13.0,8.0,8.0,2.0,1.0,0.0,0.0,0.0,40.0,25.0,2.0,21.0,3.0,60.0,65.0,52.0,8.0,54.0,18.0,16.0,55.0,33.0,7.0,9.0,6.0,10.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0
2.0,4.0,15.0,104.0,63.0,20.0,11.0,10.0,49.0,7.0,1.0,12.0,30.0,33.0,26.0,23.0,4.0,2.0,10.0,11.0,3.0,3.0,0.0,2.0,0.0,50.0,9.0,8.0,24.0,10.0,65.0,71.0,19.0,11.0,6.0,25.0,27.0,69.0,10.0,7.0,9.0,8.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0
0.0,4.0,19.0,109.0,68.0,25.0,13.0,19.0,10.0,13.0,1.0,4.0,38.0,44.0,7.0,23.0,5.0,3.0,13.0,3.0,3.0,4.0,1.0,2.0,0.0,56.0,12.0,12.0,4.0,16.0,71.0,75.0,28.0,14.0,10.0,29.0,43.0,7.0,13.0,8.0,10.0,8.0,3.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0
0.0,4.0,26.0,10.0,78.0,27.0,14.0,25.0,13.0,16.0,3.0,9.0,20.0,52.0,8.0,25.0,8.0,9.0,3.0,4.0,6.0,1.0,1.0,1.0,0.0,14.0,17.0,15.0,8.0,20.0,15.0,76.0,32.0,19.0,15.0,35.0,53.0,14.0,16.0,8.0,12.0,9.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,4.0,30.0,18.0,83.0,31.0,16.0,32.0,1.0,19.0,3.0,13.0,24.0,58.0,10.0,27.0,9.0,11.0,5.0,5.0,7.0,2.0,1.0,1.0,0.0,13.0,23.0,7.0,11.0,21.0,19.0,85.0,38.0,26.0,19.0,42.0,64.0,18.0,18.0,8.0,12.0,11.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,36.0,26.0,29.0,34.0,19.0,36.0,4.0,9.0,3.0,16.0,10.0,64.0,11.0,9.0,0.0,11.0,6.0,7.0,0.0,2.0,0.0,1.0,0.0,18.0,29.0,12.0,13.0,8.0,27.0,91.0,43.0,30.0,4.0,46.0,74.0,22.0,2.0,8.0,12.0,13.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,42.0,32.0,37.0,37.0,20.0,44.0,4.0,11.0,5.0,23.0,17.0,26.0,13.0,10.0,1.0,11.0,8.0,11.0,0.0,3.0,0.0,1.0,0.0,29.0,7.0,14.0,11.0,9.0,36.0,22.0,51.0,31.0,7.0,54.0,7.0,28.0,6.0,8.0,12.0,0.0,9.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,45.0,35.0,40.0,13.0,24.0,48.0,4.0,0.0,6.0,26.0,20.0,11.0,16.0,12.0,1.0,13.0,9.0,13.0,2.0,4.0,0.0,1.0,0.0,33.0,3.0,18.0,15.0,11.0,42.0,27.0,56.0,35.0,13.0,57.0,18.0,40.0,8.0,0.0,13.0,0.0,9.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,14.0,45.0,44.0,7.0,28.0,49.0,5.0,5.0,1.0,31.0,26.0,20.0,16.0,15.0,2.0,6.0,12.0,15.0,2.0,4.0,0.0,2.0,0.0,19.0,6.0,21.0,19.0,16.0,11.0,35.0,62.0,38.0,18.0,8.0,27.0,5.0,10.0,1.0,13.0,1.0,11.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,19.0,49.0,48.0,9.0,7.0,51.0,6.0,6.0,2.0,36.0,29.0,22.0,15.0,16.0,2.0,8.0,15.0,16.0,4.0,4.0,1.0,2.0,0.0,25.0,7.0,4.0,20.0,11.0,15.0,36.0,70.0,38.0,22.0,12.0,41.0,14.0,14.0,2.0,14.0,2.0,1.0,4.0,6.0,1.0,0.0,2.0,0.0,0.0
0.0,2.0,6.0,11.0,55.0,13.0,7.0,57.0,8.0,7.0,3.0,38.0,32.0,28.0,2.0,21.0,3.0,9.0,16.0,17.0,4.0,1.0,1.0,2.0,0.0,29.0,11.0,5.0,21.0,14.0,22.0,46.0,78.0,8.0,26.0,16.0,10.0,21.0,16.0,2.0,2.0,6.0,4.0,5.0,7.0,1.0,0.0,2.0,0.0,0.0
0.0,2.0,10.0,15.0,61.0,15.0,8.0,64.0,10.0,9.0,5.0,5.0,36.0,30.0,3.0,15.0,4.0,5.0,4.0,19.0,6.0,1.0,1.0,2.0,0.0,36.0,7.0,7.0,3.0,18.0,25.0,22.0,86.0,10.0,28.0,22.0,18.0,31.0,3.0,3.0,2.0,8.0,5.0,5.0,8.0,2.0,0.0,2.0,0.0,0.0
0.0,2.0,14.0,22.0,66.0,16.0,8.0,11.0,12.0,12.0,6.0,5.0,41.0,37.0,3.0,15.0,4.0,7.0,4.0,21.0,7.0,1.0,1.0,0.0,0.0,46.0,9.0,10.0,0.0,20.0,9.0,22.0,94.0,13.0,5.0,27.0,24.0,40.0,4.0,3.0,2.0,10.0,7.0,1.0,10.0,3.0,0.0,2.0,0.0,0.0
0.0,3.0,19.0,4.0,31.0,17.0,9.0,18.0,13.0,12.0,6.0,8.0,16.0,40.0,8.0,2.0,5.0,8.0,2.0,4.0,12.0,1.0,1.0,0.0,0.0,16.0,13.0,11.0,0.0,22.0,13.0,27.0,95.0,15.0,12.0,32.0,33.0,43.0,12.0,4.0,4.0,2.0,8.0,1.0,11.0,5.0,0.0,3.0,0.0,0.0
0.0,0.0,21.0,9.0,34.0,19.0,9.0,25.0,13.0,15.0,7.0,13.0,23.0,41.0,12.0,4.0,3.0,11.0,2.0,4.0,13.0,1.0,2.0,0.0,0.0,23.0,16.0,6.0,0.0,4.0,16.0,14.0,102.0,16.0,13.0,37.0,40.0,46.0,0.0,0.0,4.0,2.0,10.0,3.0,2.0,5.0,0.0,3.0,0.0,0.0
0.0,0.0,26.0,17.0,10.0,21.0,10.0,29.0,6.0,19.0,7.0,17.0,27.0,47.0,12.0,5.0,2.0,13.0,2.0,5.0,15.0,3.0,2.0,0.0,0.0,26.0,19.0,8.0,0.0,2.0,21.0,22.0,109.0,17.0,18.0,6.0,45.0,50.0,1.0,0.0,4.0,2.0,2.0,3.0,2.0,7.0,0.0,3.0,0.0,0.0
0.0,0.0,14.0,21.0,18.0,6.0,10.0,34.0,7.0,5.0,7.0,18.0,32.0,17.0,14.0,7.0,2.0,16.0,4.0,3.0,3.0,3.0,2.0,0.0,0.0,35.0,21.0,12.0,0.0,5.0,28.0,26.0,116.0,25.0,5.0,10.0,54.0,55.0,5.0,0.0,0.0,3.0,2.0,3.0,2.0,8.0,0.0,3.0,0.0,0.0
0.0,0.0,17.0,24.0,20.0,11.0,12.0,37.0,8.0,7.0,7.0,21.0,38.0,26.0,4.0,7.0,5.0,17.0,5.0,3.0,4.0,3.0,2.0,0.0,0.0,11.0,24.0,19.0,1.0,7.0,32.0,31.0,42.0,25.0,6.0,12.0,61.0,62.0,6.0,0.0,1.0,4.0,3.0,3.0,2.0,5.0,1.0,3.0,0.0,0.0
0.0,0.0,22.0,28.0,21.0,3.0,3.0,40.0,10.0,1.0,7.0,26.0,48.0,29.0,2.0,9.0,6.0,3.0,8.0,3.0,4.0,3.0,2.0,0.0,0.0,16.0,31.0,6.0,2.0,12.0,8.0,37.0,44.0,26.0,8.0,19.0,9.0,65.0,8.0,0.0,1.0,7.0,3.0,0.0,2.0,5.0,1.0,3.0,0.0,0.0
